,name,lat,lng,vicinity,open_now,rating,price_level,icon,id,photos,place_id,reference,scope,types,borough
0,P&M Classic Pizza and Restaurant,40.8261544,-73.946575,"1747 Amsterdam Avenue, New York",False,4.7,1.0,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,31f44d5c640ad7d4737047373e4cf4dbd957f173,"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112992068817544943276/photos"">Sa Na</a>'], 'photo_reference': 'CmRaAAAA4b9oGw7Nhrd_Umt94GKCIqbye2actbZ0-6l7ZfcWu7m1Nv-52SkF1KVJEHpgTyIqFuytibPkNS9GYQaLqpDG5k7ebUM9d80pA7NjhGGWrnzVFjt9Vogtgu48SsJtKBL5EhBaU2c79d_S8QYHDdI6PEvmGhQQj2XX5Nanxm9F8dhf2mgwqRIQLQ', 'width': 1836}]",ChIJqX832Xz2wokRCmDaupc-83M,CmRRAAAAOywdi6JqBTmF-VTLLJweUJOPHva0nHoXCyydOa00kNXlwrsYlRSmebRckETYrbBIrp4TXZORk3fFnko3wEMIYHzVMqaTURe4r0BN6GwfZNyxa-IWhxPJH-FTWgqqNtH2EhBt0leqAIx8CZm57Vlon5xyGhSF3Ly0YrTyBclM9nhJz5_IKy4mfg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",NYC
1,New Broadway Pizza Coffee Shop,40.851788,-73.9347083,"4312 Broadway, New York",False,4.4,2.0,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,e438e1ef8e28dfd3ebf583260d76259e238b815e,"[{'height': 4176, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100456438996636561736/photos"">Anthony Ramos</a>'], 'photo_reference': 'CmRaAAAAG25CxYwQlyMCJLtli3lF5pXgWS90g-4yzfPPUf0cR2yquLTn1k5I6yL7QJmZaFq8knF-bBmI0XfYACZ_u-3KEhTMs4ICIk9y3yK3Bv5ODcNxBGg7Sr-iehYfD09HROniEhDjdj_LraAm4_KhDb6ndSHCGhRZjbI3gbmilbD8o42aqdYPUJ5a4w', 'width': 2366}]",ChIJhx0DCh70wokRKr1DakdaiKo,CmRSAAAAriFU3PPuVv34QPIZBsAbrhzJoaURZCUDlUMNc8Fxtbvxp7q63UvH985dSwnCqcK5E3kF-a_ajHnsuyfAZo6aZehIpJrCKlU9x52GBIPLUEaJZxErLe8eID6KyZknAfuLEhBS0fVHHdf7C5MsNVH1rqTaGhQAyElVfYNYmc8AqlpQP2vw6HOKow,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",NYC
2,Tommy's Grill & Pizzeria,40.8331086,-73.94509479999999,"3750 Broadway, New York",True,3.2,1.0,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,2f47167bd8c672824a1123577e60362b74d48a6f,"[{'height': 540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100894484457125544772/photos"">Tommy&#39;s Grill &amp; Pizzeria</a>'], 'photo_reference': 'CmRaAAAA9IR88hN2Uu-B-JjWsSdMwvROAFQXIjKd6lxU2NG_hAcwirV9YUWVIa1xKTE-YWgSosGYK_-Dr8st8lzI6fJRMBdrejk1RzO93-Lp8i8HCQ8lwCOWrojobdwEbXDKt8xfEhBPE-CR9-I-VXpk7I77FPPXGhTkd4q64QjL6aSsDAmWBIZo1Vs4uQ', 'width': 798}]",ChIJrdYyy4X2wokR8AWLcUl4usA,CmRSAAAAeBpQ1xeDg9hXAA94b1hLidMs_z-lBo0uAHhPHrAJHnN4spN9cBR7z-tk0_2ZlDXP8ZA0XVUS9U22__LrSx6EExPdKAQaa1njADzP7O6anQ_w81F4G_VcH8Wpo7ZCsXZREhCfAdS9fnBC2THMDIRDV9nAGhQpaz_-EL2OgT6O42Q1H-rY28Zsyw,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",NYC
3,Custom Fuel Pizza,40.80870449999999,-73.9520254,"2288 Frederick Douglass Boulevard, New York",False,4.0,1.0,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,ac91f24418e1683a204b1268a0fe3b9c76874a5c,"[{'height': 750, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102608669722663336942/photos"">Custom Fuel Pizza</a>'], 'photo_reference': 'CmRaAAAArGNECe13q6h0dgF0x5HcbRd0ExFhOBTEp4Hx52Q4NHREYed6YfsKDVtliP-50z34U68H-AxfMuk3H6OtQaDwg8TCAhJLwxFL7_S8STsYKPkEpk3iV-0JcTFCsxzxaJ9oEhDw86Tu8EaPQiHzHhPKvCsQGhS7Z_NOU4QUXFy6q4g9iNgKsgWrwg', 'width': 1000}]",ChIJ57jXPxP2wokRRrcwDoksk18,CmRRAAAAuG9Cxht8Cz8ge_29uFCFSXhMFpk2VMVpRkrKS3dohnjYoraImi-dBv928Au3IFWyU0Lub4BYGeWxK_Sb0pEV8PLZLBvqYdHw01kfyXqMuxnrJjarxhf4Kw5GgaK5RRPJEhCY_17Qt9lrGHie3aPfgUvAGhSc-yyCzOsgK2T-p-CFxpWQKoevqQ,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",NYC
4,Pizza Stop,40.815397,-73.940027,"531 Lenox Avenue, New York",True,4.0,2.0,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,72e47bb5001b6f0879bc827fe268fd0d868e5ddd,"[{'height': 419, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107495149245008802850/photos"">Pizza Stop</a>'], 'photo_reference': 'CmRaAAAAvdLyOjS6ca4XaxGkQ4oIDzJF7rT58jWo1oW0GRHyd817GGkFqlsbGpsNz4VKqk9pF16PHvfKWoR4WP6vz8snvDeaNj7aTfaAs6MzFjLvRoJpFV4mBOWFj9rfVPbYG8LvEhBcXPcKicaIphv0PcoZvosQGhSCFJWdzKklzmZ_j1HhPYwx1NnL4w', 'width': 790}]",ChIJy6G-JHj2wokRiLxKme5PyBQ,CmRRAAAAjBlEWBE8Mc2YshcH9x8ZVLvAiE-hzRqZ5ZnRGXJH3qextLbyodct6DabbR_juqrVh4xtSFtMqQNSLUTUkY6fSe2cAqYzeRj2iW91GrSw-qVMIkSAx-ziO760cZ_ghPqxEhCAle6Pm_NvjTj0G4aEtv4hGhQSjoh85e-IlibZEW4oJr6PE4LD-w,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",NYC
5,Jumbos Pizza,40.82800799999999,-73.9489743,"3594 Broadway, New York",False,4.5,,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,f28c28d3247aca6dafd84c26583975387b522b11,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107096158007478200721/photos"">SuperElevator Man3000</a>'], 'photo_reference': 'CmRaAAAAqKXW5DIkjZ1RRtHMriB20zjAlGN30v0Lj4fC4WciVaBgLLODYexaFtJBTTI1HB5YCLmmXCBSx3tlYIyLWRxBZ6ImJds40c7j-_oJVC2KsRIDIs3d0zAcZshqdQX4W2J7EhBHYvL2LfEFepVHOxkKTf-TGhTHr5YJ_AjoZgPk5tOfifa6QwwAIg', 'width': 3024}]",ChIJe4ujVyP2wokRukFP2hyg_co,CmRSAAAAXDJcdy7G42KtX6HgL0k5WY5ApCLiePlh0yXiCmYh8ppB0QqtiDfsLgIHzcwXMrAiz9JdJdbUN4dH6o3K_01_DDLWlvbVo0EAQ_xFJmO4wk26HE5W0dlRQEGl4kYB2uGkEhBnX5pQCsYAbUbah7p4AEiVGhRn8Gghi99hbJgNhMMe2wX-TPTJew,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",NYC
6,Tom's Delicious Pizza,40.81489800000001,-73.95934299999999,"3161 Broadway, New York",False,3.9,2.0,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,4735f4cfef40a0c9894e00beac0c1c0f0d938f9b,"[{'height': 416, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118073757341899711856/photos"">Tom&#39;s Delicious Pizza</a>'], 'photo_reference': 'CmRaAAAAmpKN0TYOXzMZjcv8_OJiUqzFFLY6QHCZlkA4wjRoLUlSNqRBfO5ZMXBW3OI9AAnlxZKsTzCfbosj3nZPfVQyRQWFL9Y1ENIde-70EZdgVx4Ni6fHurpwkxR1c-Mg0W6PEhAgLx1jSKolR3sYcimhUE7UGhQPY5sq6yLtgpGPuLv212cg5EpgTA', 'width': 627}]",ChIJDw2HC2r2wokRC-WCKP0MbWQ,CmRRAAAAWlSfr7Vk578MGZETOGazMFPTPVK78LIGAS8aPmstTSl2nYgaZHhLKfdoDRIU5N_oRabcL7UGyEYTpH9kfIon9hPgTKSTdI_-SG_s1s57HPTGiQ_dGXRFJ4NvkTrTIUU8EhDnANfBhB-ifdf5iGNBN5sOGhTnj_MBk8DCfOeTHliNJ6oOv7NkEw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",NYC
7,King's Pizza of Harlem,40.82056,-73.9371073,"110 West 145th Street, New York",,4.6,2.0,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,abfae856a043a5ad90234521b3d0e030ad50744e,"[{'height': 3720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107831499433089107475/photos"">Sunny Skyz</a>'], 'photo_reference': 'CmRaAAAAag8DWYtSQgAIhyB_61dTHJpbJNBH33OCU2_SJMJ09MqhRw8PHpR3L8cRHsJdRUcbd3fHw8wfgH1Rs7TA5gUG-Gly7pPyyEu6dRTUwsJFaEP7mFJOgaUCq3P474cGKt-gEhCX4oDnEzBeqBjQmzXXlRglGhRtuarEHQj-dUuJvRhq1FNg_CNoPw', 'width': 3016}]",ChIJbWfIg3j2wokRJ22QKbeFRu8,CmRSAAAAEm9LWly2TMdIEzaeb1LKEw-YjCyafEqSetVCKlAg_ePu96GoGGOqAWSGquSeWTj601Z8fQeeSzvU7JMRlqVxfxuezuBdB3zDQ6lNhaE-OyDQhYUiX6JkN7a7uKFsoi9bEhBYbCB4xW4Ycv1yJB9e3fbmGhSQCUvUOUCHlHxkSFuMRGta-sDq8Q,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",NYC
8,Como Pizza,40.8422463,-73.939453,"4035 Broadway, New York",False,4.5,2.0,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,5b798ace27d7db63a08abe97db2cd78c0234a8d3,"[{'height': 2688, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116328413531008878625/photos"">Quenton King</a>'], 'photo_reference': 'CmRaAAAAAvk7z1dNaHxsXhm8FIb8b7oby7tXaZ1G2x9D5D9dOH5Zbml7qwgeoeeaSByCaSPA4mt2VYJTvu0Q4_nGJYD-yJNL16CPOApu6pcqav5rJfJtD-lImmcFNlkIp14oaWIqEhC2MBzUGghMotUgkwvqmezxGhS40xBcjLOUjuM7JsiowkU7GTHyyQ', 'width': 1512}]",ChIJa2NWKZz2wokRxN7oFAKksCs,CmRRAAAABk9CvWv6HADZ2MXrBZItjLj_Msb4kv3y5s8Z-GDxVUvjIsCarrJYh2X8LLFnOMLryJ86Xn_ORqi4nQruU_SxAgXHspOMdBT0UJUu20K-gfByRB8dbv-uHFl6O0fW4mcqEhAbyNi6asAocW8ztNSp7q4uGhQfzHjpAXm3Wqywq6KVZzcY3s5DNw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",NYC
9,Mama Tina's Pizzeria,40.8206701,-73.9438883,"2649 Frederick Douglass Boulevard, New York",True,3.5,2.0,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,ee11d69d1f7c9f79397b2b6d8edc4a928e331487,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108293363885318832487/photos"">Adele H Rahte</a>'], 'photo_reference': 'CmRaAAAAmGT2cCnNpKo1n8wiqSp_hT68t5zEQiPbYOLaQNpiDnXqb17zXO3pK6BYROHnvEZ_WkURnRpql69IO9ElWJLfHTRPzxxyk2ijLad9IGLqrU_kXmSNOvCDOkeiXVlZSvZcEhCQqZBAA0c5hv0HHr8Xi5RRGhQ5aHGW-wdTuBVoyRvHPZh-vw6ExA', 'width': 3120}]",ChIJe4_bTnr2wokRWPwq8n5DKdk,CmRSAAAACXzeULeqXqujhKn6AuRQmEegSCX5F-6mWSOMR-5Zc7CRHbsYaHdUfzaOshNq-m7UUYyqzjJWcyJS68L2kqBoOUEfFpD23HTpkWGV5Au9n0mRcNImrL4nhArWfrqMYXFTEhASHR3jYd2V5yn_swlaMHw2GhTREvBharpK9TMxa2eVpVqdDSj9cQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",NYC
